k (inverse Angstrom)	Variance	Vk_error
0.10242	0.001699873	0.000617608
0.11949	0.00185429	0.000614159
0.13656	0.001977895	0.000612022
0.15363	0.002104207	0.000608675
0.1707	0.002463233	0.000595049
0.18777	0.002690279	0.000582114
0.20484	0.003088296	0.000577076
0.22191	0.003364681	0.000576946
0.23898	0.00375361	0.000522232
0.25605	0.004163841	0.000437376
0.27312	0.0044555	0.000330668
0.29019	0.004687468	0.000213381
0.30726	0.004732008	0.000179549
0.32433	0.004639226	0.000246693
0.3414	0.004492714	0.000318832
0.35847	0.004237633	0.000328676
0.37554	0.004125848	0.000453447
0.39261	0.003984299	0.00053578
0.40968	0.003657858	0.00060118
0.42675	0.003325189	0.000649826
0.44382	0.003319082	0.00066338
0.46089	0.00336499	0.000616767
0.47796	0.003217772	0.00055594
0.49503	0.003107785	0.000463048
0.5121	0.002891968	0.000393374
0.52917	0.002764929	0.00032974
0.54624	0.002658441	0.000311748
0.56331	0.002519884	0.000303972
0.58038	0.002364507	0.000235497
0.59745	0.002291681	0.000235325
0.61452	0.002234478	0.000249799
0.63159	0.0022478	0.000263836
0.64866	0.002225204	0.000261272
